study,subject,session,phase,condition,file,file_name,character_index,inferred_target_code,inferred_target_label,target_flash_count,majority_count,majority_agreement,segmentation
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train02.edf,D_01_SE001_RC_Train02.edf,1,20,T,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train02.edf,D_01_SE001_RC_Train02.edf,2,8,H,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train02.edf,D_01_SE001_RC_Train02.edf,3,9,I,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train02.edf,D_01_SE001_RC_Train02.edf,4,14,N,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train02.edf,D_01_SE001_RC_Train02.edf,5,11,K,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train02.edf,D_01_SE001_RC_Train02.edf,6,19,S,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train03.edf,D_01_SE001_RC_Train03.edf,1,19,S,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train03.edf,D_01_SE001_RC_Train03.edf,2,9,I,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train03.edf,D_01_SE001_RC_Train03.edf,3,12,L,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train03.edf,D_01_SE001_RC_Train03.edf,4,22,V,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train03.edf,D_01_SE001_RC_Train03.edf,5,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train03.edf,D_01_SE001_RC_Train03.edf,6,18,R,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train04.edf,D_01_SE001_RC_Train04.edf,1,13,M,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train04.edf,D_01_SE001_RC_Train04.edf,2,9,I,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train04.edf,D_01_SE001_RC_Train04.edf,3,14,N,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train04.edf,D_01_SE001_RC_Train04.edf,4,21,U,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train04.edf,D_01_SE001_RC_Train04.edf,5,20,T,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train04.edf,D_01_SE001_RC_Train04.edf,6,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train05.edf,D_01_SE001_RC_Train05.edf,1,3,C,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train05.edf,D_01_SE001_RC_Train05.edf,2,15,O,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train05.edf,D_01_SE001_RC_Train05.edf,3,12,L,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train05.edf,D_01_SE001_RC_Train05.edf,4,15,O,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train05.edf,D_01_SE001_RC_Train05.edf,5,18,R,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train05.edf,D_01_SE001_RC_Train05.edf,6,19,S,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train06.edf,D_01_SE001_RC_Train06.edf,1,36,9,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train06.edf,D_01_SE001_RC_Train06.edf,2,34,7,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train06.edf,D_01_SE001_RC_Train06.edf,3,28,1,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train06.edf,D_01_SE001_RC_Train06.edf,4,31,4,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train06.edf,D_01_SE001_RC_Train06.edf,5,36,9,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_01,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_01/SE001/Train/RC/D_01_SE001_RC_Train06.edf,D_01_SE001_RC_Train06.edf,6,36,9,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test01.edf,D_02_SE001_Dyn_Test01.edf,1,5,E,55,23,0.41818181818181815,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test02.edf,D_02_SE001_Dyn_Test02.edf,1,15,O,26,8,0.3076923076923077,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test03.edf,D_02_SE001_Dyn_Test03.edf,1,5,E,34,9,0.2647058823529412,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test04.edf,D_02_SE001_Dyn_Test04.edf,1,18,R,35,12,0.34285714285714286,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test05.edf,D_02_SE001_Dyn_Test05.edf,1,5,E,42,18,0.42857142857142855,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test06.edf,D_02_SE001_Dyn_Test06.edf,1,32,5,25,8,0.32,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test01.edf,D_02_SE001_DynBigram_Test01.edf,1,13,M,24,9,0.375,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test02.edf,D_02_SE001_DynBigram_Test02.edf,1,5,E,28,6,0.21428571428571427,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test03.edf,D_02_SE001_DynBigram_Test03.edf,1,13,M,28,6,0.21428571428571427,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test04.edf,D_02_SE001_DynBigram_Test04.edf,1,18,R,19,5,0.2631578947368421,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test05.edf,D_02_SE001_DynBigram_Test05.edf,1,12,L,26,11,0.4230769230769231,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test06.edf,D_02_SE001_DynBigram_Test06.edf,1,37,0,28,8,0.2857142857142857,adaptive_currenttarget_distribution
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train01.edf,D_02_SE001_RC_Train01.edf,1,21,U,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train01.edf,D_02_SE001_RC_Train01.edf,2,19,S,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train01.edf,D_02_SE001_RC_Train01.edf,3,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train01.edf,D_02_SE001_RC_Train01.edf,4,6,F,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train01.edf,D_02_SE001_RC_Train01.edf,5,21,U,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train01.edf,D_02_SE001_RC_Train01.edf,6,12,L,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train02.edf,D_02_SE001_RC_Train02.edf,1,2,B,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train02.edf,D_02_SE001_RC_Train02.edf,2,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train02.edf,D_02_SE001_RC_Train02.edf,3,8,H,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train02.edf,D_02_SE001_RC_Train02.edf,4,9,I,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train02.edf,D_02_SE001_RC_Train02.edf,5,14,N,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train02.edf,D_02_SE001_RC_Train02.edf,6,4,D,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train03.edf,D_02_SE001_RC_Train03.edf,1,7,G,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train03.edf,D_02_SE001_RC_Train03.edf,2,15,O,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train03.edf,D_02_SE001_RC_Train03.edf,3,16,P,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train03.edf,D_02_SE001_RC_Train03.edf,4,8,H,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train03.edf,D_02_SE001_RC_Train03.edf,5,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train03.edf,D_02_SE001_RC_Train03.edf,6,18,R,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train04.edf,D_02_SE001_RC_Train04.edf,1,19,S,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train04.edf,D_02_SE001_RC_Train04.edf,2,16,P,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train04.edf,D_02_SE001_RC_Train04.edf,3,18,R,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train04.edf,D_02_SE001_RC_Train04.edf,4,5,E,20,20,1.0,fixed_blocks_20_target_flashes
StudyD,D_02,SE001,Train,RC,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Train/RC/D_02_SE001_RC_Train04.edf,D_02_SE001_RC_Train04.edf,5,1,A,20,20,1.0,fixed_blocks_20_target_flashes
