study,subject,session,phase,condition,file,file_name,flag_type,detail
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test02.edf,D_02_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 30.8%.
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test03.edf,D_02_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 26.5%.
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test04.edf,D_02_SE001_Dyn_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 34.3%.
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test05.edf,D_02_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 42.9%.
StudyD,D_02,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/Dyn/D_02_SE001_Dyn_Test06.edf,D_02_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 32.0%.
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test01.edf,D_02_SE001_DynBigram_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 37.5%.
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test02.edf,D_02_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.4%.
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test03.edf,D_02_SE001_DynBigram_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.4%.
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test04.edf,D_02_SE001_DynBigram_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 26.3%.
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test05.edf,D_02_SE001_DynBigram_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 42.3%.
StudyD,D_02,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_02/SE001/Test/DynBigram/D_02_SE001_DynBigram_Test06.edf,D_02_SE001_DynBigram_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.6%.
StudyD,D_03,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/Dyn/D_03_SE001_Dyn_Test01.edf,D_03_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 23.9%.
StudyD,D_03,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/Dyn/D_03_SE001_Dyn_Test02.edf,D_03_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 26.6%.
StudyD,D_03,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/Dyn/D_03_SE001_Dyn_Test03.edf,D_03_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 38.3%.
StudyD,D_03,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/Dyn/D_03_SE001_Dyn_Test04.edf,D_03_SE001_Dyn_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 32.8%.
StudyD,D_03,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/Dyn/D_03_SE001_Dyn_Test05.edf,D_03_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 33.9%.
StudyD,D_03,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/Dyn/D_03_SE001_Dyn_Test06.edf,D_03_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 35.7%.
StudyD,D_03,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/DynBigram/D_03_SE001_DynBigram_Test01.edf,D_03_SE001_DynBigram_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.9%.
StudyD,D_03,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/DynBigram/D_03_SE001_DynBigram_Test02.edf,D_03_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 39.7%.
StudyD,D_03,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/DynBigram/D_03_SE001_DynBigram_Test03.edf,D_03_SE001_DynBigram_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 26.8%.
StudyD,D_03,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/DynBigram/D_03_SE001_DynBigram_Test04.edf,D_03_SE001_DynBigram_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 45.8%.
StudyD,D_03,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/DynBigram/D_03_SE001_DynBigram_Test07.edf,D_03_SE001_DynBigram_Test07.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 24.3%.
StudyD,D_03,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_03/SE001/Test/DynBigram/D_03_SE001_DynBigram_Test08.edf,D_03_SE001_DynBigram_Test08.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 44.4%.
StudyD,D_04,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/Dyn/D_04_SE001_Dyn_Test01.edf,D_04_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 37.5%.
StudyD,D_04,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/Dyn/D_04_SE001_Dyn_Test02.edf,D_04_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.4%.
StudyD,D_04,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/Dyn/D_04_SE001_Dyn_Test03.edf,D_04_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 26.2%.
StudyD,D_04,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/Dyn/D_04_SE001_Dyn_Test05.edf,D_04_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 27.8%.
StudyD,D_04,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/Dyn/D_04_SE001_Dyn_Test06.edf,D_04_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 18.2%.
StudyD,D_04,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/Dyn/D_04_SE001_Dyn_Test07.edf,D_04_SE001_Dyn_Test07.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 34.9%.
StudyD,D_04,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/DynBigram/D_04_SE001_DynBigram_Test01.edf,D_04_SE001_DynBigram_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.6%.
StudyD,D_04,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/DynBigram/D_04_SE001_DynBigram_Test02.edf,D_04_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 34.1%.
StudyD,D_04,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/DynBigram/D_04_SE001_DynBigram_Test03.edf,D_04_SE001_DynBigram_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 38.5%.
StudyD,D_04,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/DynBigram/D_04_SE001_DynBigram_Test04.edf,D_04_SE001_DynBigram_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.6%.
StudyD,D_04,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/DynBigram/D_04_SE001_DynBigram_Test05.edf,D_04_SE001_DynBigram_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 29.0%.
StudyD,D_04,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_04/SE001/Test/DynBigram/D_04_SE001_DynBigram_Test06.edf,D_04_SE001_DynBigram_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 52.1%.
StudyD,D_05,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/Dyn/D_05_SE001_Dyn_Test01.edf,D_05_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 31.0%.
StudyD,D_05,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/Dyn/D_05_SE001_Dyn_Test02.edf,D_05_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 23.7%.
StudyD,D_05,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/Dyn/D_05_SE001_Dyn_Test03.edf,D_05_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 25.7%.
StudyD,D_05,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/Dyn/D_05_SE001_Dyn_Test04.edf,D_05_SE001_Dyn_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 27.1%.
StudyD,D_05,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/Dyn/D_05_SE001_Dyn_Test05.edf,D_05_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.6%.
StudyD,D_05,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/Dyn/D_05_SE001_Dyn_Test06.edf,D_05_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 29.4%.
StudyD,D_05,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/DynBigram/D_05_SE001_DynBigram_Test02.edf,D_05_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 42.5%.
StudyD,D_05,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/DynBigram/D_05_SE001_DynBigram_Test03.edf,D_05_SE001_DynBigram_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 32.0%.
StudyD,D_05,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/DynBigram/D_05_SE001_DynBigram_Test04.edf,D_05_SE001_DynBigram_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.0%.
StudyD,D_05,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/DynBigram/D_05_SE001_DynBigram_Test05.edf,D_05_SE001_DynBigram_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 38.9%.
StudyD,D_05,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/DynBigram/D_05_SE001_DynBigram_Test06.edf,D_05_SE001_DynBigram_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 42.9%.
StudyD,D_05,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_05/SE001/Test/DynBigram/D_05_SE001_DynBigram_Test07.edf,D_05_SE001_DynBigram_Test07.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.6%.
StudyD,D_06,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/Dyn/D_06_SE001_Dyn_Test01.edf,D_06_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 43.8%.
StudyD,D_06,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/Dyn/D_06_SE001_Dyn_Test02.edf,D_06_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 20.0%.
StudyD,D_06,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/Dyn/D_06_SE001_Dyn_Test03.edf,D_06_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 23.5%.
StudyD,D_06,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/Dyn/D_06_SE001_Dyn_Test04.edf,D_06_SE001_Dyn_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 34.0%.
StudyD,D_06,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/Dyn/D_06_SE001_Dyn_Test05.edf,D_06_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 27.9%.
StudyD,D_06,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/Dyn/D_06_SE001_Dyn_Test06.edf,D_06_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 24.6%.
StudyD,D_06,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/DynBigram/D_06_SE001_DynBigram_Test01.edf,D_06_SE001_DynBigram_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 28.6%.
StudyD,D_06,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/DynBigram/D_06_SE001_DynBigram_Test02.edf,D_06_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 36.2%.
StudyD,D_06,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/DynBigram/D_06_SE001_DynBigram_Test03.edf,D_06_SE001_DynBigram_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 21.9%.
StudyD,D_06,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/DynBigram/D_06_SE001_DynBigram_Test04.edf,D_06_SE001_DynBigram_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 30.0%.
StudyD,D_06,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/DynBigram/D_06_SE001_DynBigram_Test05.edf,D_06_SE001_DynBigram_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 42.6%.
StudyD,D_06,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_06/SE001/Test/DynBigram/D_06_SE001_DynBigram_Test06.edf,D_06_SE001_DynBigram_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 34.8%.
StudyD,D_07,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/Dyn/D_07_SE001_Dyn_Test01.edf,D_07_SE001_Dyn_Test01.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 27.9%.
StudyD,D_07,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/Dyn/D_07_SE001_Dyn_Test02.edf,D_07_SE001_Dyn_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 23.4%.
StudyD,D_07,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/Dyn/D_07_SE001_Dyn_Test03.edf,D_07_SE001_Dyn_Test03.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 20.8%.
StudyD,D_07,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/Dyn/D_07_SE001_Dyn_Test04.edf,D_07_SE001_Dyn_Test04.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 20.5%.
StudyD,D_07,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/Dyn/D_07_SE001_Dyn_Test05.edf,D_07_SE001_Dyn_Test05.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 31.0%.
StudyD,D_07,SE001,Test,Dyn,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/Dyn/D_07_SE001_Dyn_Test06.edf,D_07_SE001_Dyn_Test06.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 30.1%.
StudyD,D_07,SE001,Test,DynBigram,/Users/shivank/Projects/P300_EEG_Speller/p300-llm-speller/data/raw/bigP3BCI_dataset/bigP3BCI-data/StudyD/D_07/SE001/Test/DynBigram/D_07_SE001_DynBigram_Test02.edf,D_07_SE001_DynBigram_Test02.edf,adaptive_currenttarget_varies,Character block 1 majority agreement is 24.1%.
